"tramite_audiencia_name","tramite_audiencia_date","tramite_audiencia_numero_processo"
"PERÍCIA","2016-07-13","0020954-19.2015.5.04.0030"
"PERÍCIA","2016-07-22","001/1.16.0053327-3"
"SUSTENTAÇÃO ORAL","2016-06-22","5045948-43.2015.4.04.7100"
"PERÍCIA","2016-07-22","001/1.16.0049035-3"
"PERÍCIA","2016-07-26","008/1.15.0019777-2"
"SUSTENTAÇÃO ORAL","2016-07-01","001/1.13.0308124-6"
"PERÍCIA","2016-07-27","001/1.15.0212353-4"
"INSTRUÇÃO","2016-12-14",""
"INICIAL","2017-05-03",""
"PERÍCIA","2016-11-01","001/1.16.0104462-4"
"PERÍCIA","2016-08-02","001/1.15.0073310-6"
"SUSTENTAÇÃO ORAL","2016-06-30","001/1.14.0265233-0"
"SUSTENTAÇÃO ORAL","2016-06-30","0063180-74-2013-8-21-0001"
"INICIAL","2016-08-03","0021199-93.2016.5.04.0030"
"PERÍCIA","2016-08-05","001/1.15.0201480-8"
"INICIAL","2016-08-17","NÃO INFORMADO"
"INSTRUÇÃO","2017-03-14",""
"INSTRUÇÃO","2017-02-01",""
"PERÍCIA","2016-08-23","001/1.15.0042436-7"
"PERÍCIA","2016-08-24","001/1.15.0201370-4"
"SUSTENTAÇÃO ORAL","2016-06-30","008/1.14.0016825-8"
"INSTRUÇÃO","2017-02-21",""
"OITIVA DE TESTEMUNHAS","2016-09-01","0021336-06.2014.5.04.0205"
"INSTRUÇÃO","2017-02-21",""
"INSTRUÇÃO","2017-09-06",""
"PERÍCIA","2017-03-27",""
"INSTRUÇÃO","2017-04-10",""
"SUSTENTAÇÃO ORAL","2016-07-13","5060364-16.2015.4.04.7100"
"SUSTENTAÇÃO ORAL","2016-07-13","5039907.70.2014.4.04.7108"
"SUSTENTAÇÃO ORAL","2016-07-14","NÃOINFORMADO"
"JULGAMENTO","2016-07-14","5020427-96.2015.5.04.7100"
"SUSTENTAÇÃO ORAL","2016-06-29","0020998-38.2015.5.04.0030"
"SUSTENTAÇÃO ORAL","2016-06-29","0020386-71.2013.5.04.0030"
"SUSTENTAÇÃO ORAL","2016-06-30","0021939-22.2014.5.04.0030"
"INSTRUÇÃO","2018-02-22","0020988-92.2017.5.04.0104"
"CONCILIAÇÃO","2018-02-20","0000140-51-2013-5-07-0004"
"PERÍCIA","2016-08-02","001/1.15.0091347-3"
"INICIAL","2016-08-17","0021498-68.2015.5.04.0333"
"PERÍCIA","2016-11-09","0021047-26.2016.5.04.0101"
"PERÍCIA","2016-11-11","001/1.16.0084918-1"
"CONCILIAÇÃO","2019-07-01","0001838-19.2016.5.13.0005"
"PERÍCIA","2016-11-16","618"
"PERÍCIA","2016-10-11","0021467-50.2016.5.04.0030"
"INSTRUÇÃO","2016-08-25","0021151-71.2015.5.04.0030"
"JULGAMENTO","2016-08-25","0021251-60.2014.5.04.0030"
"INSTRUÇÃO","2016-08-24",""
"PERÍCIA","2016-11-21","0021583-77.2016.5.04.0411"
"JULGAMENTO","2016-09-14","001/1.15.0167694-7"
"JULGAMENTO","2016-09-28","001/1.15.0101927-0"
"PERÍCIA","2016-10-24","NÃOINFORMADO"
"PERÍCIA","2016-10-25","NÃOINFORMADO"
"PERÍCIA","2017-01-26",""
"OITIVA DE TESTEMUNHAS","2016-08-31","0020675-67.2014.5.04.0030"
"JULGAMENTO","2016-09-28","001/1-13-0024332-6"
"JULGAMENTO","2016-09-29","001/1.15.0098018-9"
"JULGAMENTO","2016-10-13","5079131-05.2015.4.04.7100"
"JULGAMENTO","2016-09-06","0021251-60.2014.5.04.0030"
"PERÍCIA","2016-11-01","001/1.16.0039033-2"
"PERÍCIA","2016-09-09","0130539-36.2016.8.21.0001"
"OITIVA DE TESTEMUNHAS","2017-04-05",""
"INICIAL","2016-09-13",""
"INICIAL","2016-09-16",""
"PERÍCIA","2017-04-25","0021570-57.2016.5.04.0030"
"JULGAMENTO","2018-04-06",""
"INSTRUÇÃO","2019-12-11","0021191-78.2018.5.04.0020"
"PERÍCIA","2016-09-15","0021111-55.2016.5.04.0030"
"PERÍCIA","2016-11-03","0021518-61.2016.5.04.0030"
"PERÍCIA","2016-09-21",""
"PERÍCIA","2016-09-22","5045948-43.2015.4.04.7100"
"PERÍCIA","2016-09-26","022/1.14.0011366-9"
"PERÍCIA","2016-09-26",""
"JULGAMENTO","2016-09-22","0020069-39.2014.5.04.0030"
"CONCILIAÇÃO","2018-02-20","0001139-88.2015.5.07.0018"
